referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,5,SA18-CUNY01,F4N1QNPB95M4,"Trustees of Columbia University In The City of New York, The",401,0.19
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,6,SA18-RSS01,JHC9MQDF9GA8,"REMOTE SENSING SOLUTIONS, INC.",874,0.42
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,7,SA18-UMB01,CGCDJ24JJLZ1,UNIVERSITY OF MASSACHUSETTS,706,0.33
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,8,SA18-USC01,G88KLJR3KYT5,University of Southern California,201,0.09
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,9,SA19-RPL01,RBMNQLAX7FC3,REEFSENSE PTY LTD,1629,0.78
DOCST133017CQ0050,DOCT0007,DOCST133017CQ0050~DOCT0007,10,SA19-USF01,NKAZLXLL7Z91,University of South Florida,934,0.44
DOCST133017CQ0054,1332KP20FNEEO0050,DOCST133017CQ0054~1332KP20FNEEO0050,1,2020-01-Velos,PHBKAG15LLA3,VELOS LLC,3506,1.68
DOCST133017CQ0055,1305M418FNAGC0122,DOCST133017CQ0055~1305M418FNAGC0122,1,ISS-Weston-20170928,F4GRGSX9C5K1,"WESTON SOLUTIONS, INC.",416,0.2
DOCST133017CQ0055,DOCT0002,DOCST133017CQ0055~DOCT0002,1,ISS-EY-20170801,ECMMFNMSLXM7,Ernst & Young LLP,4125,1.98
DOCST133017CQ0055,DOCT0008,DOCST133017CQ0055~DOCT0008,1,ISS-Weston-20170928,F4GRGSX9C5K1,"WESTON SOLUTIONS, INC.",1894,0.91
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,1,PROTECH-Case,J79PD1VNHN81,CASE CONSULTANTS INTERNATIONAL LLC,9099,4.37
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,2,PROTECH-CSU,LT9CXX8L19G1,COLORADO STATE UNIVERSITY ,520,0.25
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,3,PROTECH-GDOS,SMNWM6HN79X5,"General Dynamics Information Technology, Inc.",36246,17.42
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,4,PROTECH-GMU,EADLFP7Z72E5,George Mason University,200,0.09
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,5,PROTECH-ISciences,GJZLZS61KHW1,"ISciences, L.L.C.",5266,2.53
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,6,PROTECH-KBR,HYBLSJAMM2F4,"KBR WYLE SERVICES, LLC",19267,9.26
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,7,PROTECH-STC,TUHBZQDC4XW8,SCIENCE AND TECHNOLOGY CORPORATION,1770,0.85
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,8,PROTECH-UMD,NPU8ULVAAS23,"UNIVERSITY OF MARYLAND, COLLEGE PARK",2710,1.30
DOCST133017CQ0058,1332KP19FNEEN0003,DOCST133017CQ0058~1332KP19FNEEN0003,9,PROTECH-UWI,LCLSJAGTNZQ7,University Of Wisconsin System,1959,0.94
DOCST133017CQ0058,1332KP20FNEED0029,DOCST133017CQ0058~1332KP20FNEED0029,1,PROTECH-AER,FRPTLUW7GQS5,"Atmospheric and Environmental Research, Inc.",2274,1.09
DOCST133017CQ0058,1332KP20FNEED0029,DOCST133017CQ0058~1332KP20FNEED0029,2,PROTECH-Carr,LB9XE9JBKKT1,CARR ASTRONAUTICS CORPORATION,752,0.36
DOCST133017CQ0058,1332KP21FNEEG0055,DOCST133017CQ0058~1332KP21FNEEG0055,1,PROTECH-Velos,PHBKAG15LLA3,VELOS LLC,3864,1.85
DOCST133017CQ0058,DOCT0006,DOCST133017CQ0058~DOCT0006,1,PROTECH-PW,HQEDHUXTKBN3,PROFITABLE WEATHER LLC,1554,0.74
DOCST133017CQ0058,DOCT0006,DOCST133017CQ0058~DOCT0006,2,PROTECH-Vencore,CJ38H41QMGA1,PERSPECTA ENGINEERING INC,2166.5,1.04
DOCST133017CQ0060,1332KP21FNEEA0044,DOCST133017CQ0060~1332KP21FNEEA0044,1,21-06-9109,G5H7HWC4L2R5,ALION SCIENCE AND TECHNOLOGY CORPORATION,7179,3.45
DOCST133017CQ0060,1332KP21FNEEA0044,DOCST133017CQ0060~1332KP21FNEEA0044,2,22-03-9109,LU7GZQJBMLM8,International Business Sales & Services Corporation,42,0.02
DOCST133017CQ0060,1332KP22FNEEA0001,DOCST133017CQ0060~1332KP22FNEEA0001,1,18-03-9109,D1MTH1DW5C65,QuantiTech LLC,3616,1.73
DOCST133017CQ0060,1332KP22FNEEA0001,DOCST133017CQ0060~1332KP22FNEEA0001,2,22-01-9109,N1M7HLLHNSU9,NEXTGEN FEDERAL SYSTEMS LLC,3178,1.52
DOCST133017CQ0062,DOCT0006,DOCST133017CQ0062~DOCT0006,1,A062,EETHKKLA2VB4,"Tecolote Research, Inc.",489,0.23
DOCST133017CQ0065,1332KP19FNEEB0031,DOCST133017CQ0065~1332KP19FNEEB0031,1,OSPO-PM-06052019-001,ME52LRZUF975,AMBIT GROUP LLC,8104.2,3.89
DOCWC133F11CQ0001,DOCWC133F11CQ0001,DOCWC133F11CQ0001~DOCWC133F11CQ0001,1,1000100012722,THG1JDUEQKQ8,Nature Conservancy (The),14,0
DOCYA132315BU0023,1333LB21F00000499,DOCYA132315BU0023~1333LB21F00000499,1,103014-9,J3AEDLRX46Z3,BUSHIDO ASSOCIATES INC,436,0.2
DOCWC133W17CQ0086,1305M321FNWWN0143,DOCWC133W17CQ0086~1305M321FNWWN0143,1,CCS WC133W17CQ0086/1305M321FNWWN0143 BGM  A,SURGZXAC9MW8,"Air Temp. Heating & Air Conditioning, Inc.",725,0.34
DOCYA132315BU0010,DOCCO01,DOCYA132315BU0010~DOCCO01,1,S-20-Envizage-0317.CE.001 CARRA,FVDZRH1NEQL6,ENVIZAGE INC.,144,0.06
DOCYA132315BU0013,DOC004,DOCYA132315BU0013~DOC004,1,DNC2-00081,NJH9F4V76N86,ECG INC,1895.5,0.91
DOCYA132315BU0013,DOC005,DOCYA132315BU0013~DOC005,1,DNC2-00081,GM77BDK8GP48,"Quotient, Inc.",469.5,0.22
DOCYA132315BU0013,DOC005,DOCYA132315BU0013~DOC005,2,DNC2-00081,NJH9F4V76N86,ECG INC,27063.5,13.01
DOCYA132315BU0023,1333LB19F00000127,DOCYA132315BU0023~1333LB19F00000127,1,102528-7,MA3NZ6KSKWK3,"Goal Group, LLC",2686,1.29
DOCYA132315BU0023,1333LB19F00000133,DOCYA132315BU0023~1333LB19F00000133,1,102528-4,MA3NZ6KSKWK3,"Goal Group, LLC",2094,1
DOCYA132315BU0023,1333LB19F00000133,DOCYA132315BU0023~1333LB19F00000133,2,104799-1,NUF7MJP3JJ63,"Cyber Innovations, LLC",1993,0.95
DOCYA132315BU0023,1333LB19F00000133,DOCYA132315BU0023~1333LB19F00000133,3,104831-1,SFHJE1HNZK53,PORTAL TECHNOLOGIES CORP,5650,2.71
DOCYA132315BU0023,1333LB19F00000133,DOCYA132315BU0023~1333LB19F00000133,4,106777-1,HQ4WLFAPGKP7,"BRITE GROUP, INC, THE",2673,1.28
DOCYA132315BU0023,1333LB19F00000133,DOCYA132315BU0023~1333LB19F00000133,5,109370-1,LJVPJD6CHFG3,"Revere Technologies, Inc.",2028,0.97
DOCYA132315BU0023,1333LB19F00000133,DOCYA132315BU0023~1333LB19F00000133,6,109379-1,CVKDFY5PYPL8,"CLOUDEVOLUTION, INC.",1964,0.94
