referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,22,SC-1032819,U6V3AYMACNY5,CEBUANA CONSTRUCTION INC,1,0.00
47PK0222A0004,47PK0223F0018,47PK0222A0004~47PK0223F0018,23,SC-1033170,UAYEK9KQZNM4,TRACTEL INC SWINGSTAGE DIVISION WEST,1,0.00
47PL0018D0001,47PL0121F0033,47PL0018D0001~47PL0121F0033,1,21505PIN,J5EEH2SMLPX8,PINCHIFF MECHANICAL LLC,67,0.03
47PL0018D0001,47PL0121F0033,47PL0018D0001~47PL0121F0033,2,21505SAF,DVBKU5DA4751,SAFARI ELECTRIC LLC,18,0
47PL0018D0001,47PL0122F0036,47PL0018D0001~47PL0122F0036,1,22609HWS,XT9JMGUFYHL6,FRENCH TOUCHUP LLC,713.25,0.34
47PL0018D0001,47PL0122F0036,47PL0018D0001~47PL0122F0036,2,22609SAF,DVBKU5DA4751,SAFARI ELECTRIC LLC,348,0.16
47PL0018D0001,47PL0122F0036,47PL0018D0001~47PL0122F0036,3,22609SF,V4ERBV44AJA7,Sustainable Floors Inc.,6,0
47PL0018D0004,47PL0122F0057,47PL0018D0004~47PL0122F0057,1,22005G_26 00 00,C6EYN86CVYL3,"RODDAN INDUSTRIAL, LLC",72,0.03
47PL0018D0011,47PL0122F0002,47PL0018D0011~47PL0122F0002,1,130521-002,FNWMD72D2VH4,"HARVER COMPANY, THE",63,0.03
47PL0018D0011,47PL0123F0013,47PL0018D0011~47PL0123F0013,1,140123-001,VHGMMVBK35K1,M & C CONSTRUCTION LLC,643.25,0.3
47PL0018D0011,47PL0123F0068,47PL0018D0011~47PL0123F0068,1,141823-001,JQVCVTNSJTR5,MCKINSTRY CO LLC,0,0
47PL0122D0059,47PL0123F0017,47PL0122D0059~47PL0123F0017,1,23D01-GREFLO,EHAHGTL47WJ9,Great Floors LLC,0,0
47PL0122D0059,47PL0123F0017,47PL0122D0059~47PL0123F0017,2,23D01-MASELC,PJDUBRH3KYE4,"MASTER CRAFT ELECTRIC, INC.",13.5,0
47PM0420D0007,47PM0221F0014,47PM0420D0007~47PM0221F0014,1,287-21-01,DBWNLMAHMLH5,"FUNCTION ENTERPRISES, INC.",27120.5,13.03
47PM0518D0004,47PM0219F0008,47PM0518D0004~47PM0219F0008,1,19GSA-01,RET9J885VQY4,ALDRIDGE ELECTRIC INC,0,0
47PM0518D0007,47PM0223F0024,47PM0518D0007~47PM0223F0024,1,59134-43.1,ZMNPZJK8YVN3,"Media Plumbing & Heating, Inc.",0,0
47PM0518D0007,47PM0223F0024,47PM0518D0007~47PM0223F0024,2,59134-43.2,F8S1BF56LFY9,"ECS MID-ATLANTIC, LLC",100,0.04
47PM0518D0007,47PM0223F0024,47PM0518D0007~47PM0223F0024,3,59134-43.3,FRX7J929XHM2,"JONES GLASS, LLC",100,0.04
47PM0518D0007,47PM0223F0024,47PM0518D0007~47PM0223F0024,4,59134-43.4,C19AH6RZWWJ5,DAFORE LLC,0,0
47PM0518D0007,47PM0322F0037,47PM0518D0007~47PM0322F0037,1,59134-39.2,ZTDJXMAAAK35,AIR CLEANING TECHNOLOGIES INC,0,0
47PM0518D0007,47PM0322F0037,47PM0518D0007~47PM0322F0037,2,59134-39.3,P4GKREL2JNK1,PHOENIX MECHANICAL GROUP INC,100,0.04
47PM0518D0007,47PM0422F0015,47PM0518D0007~47PM0422F0015,1,59134-32.2,C19AH6RZWWJ5,DAFORE LLC,100,0.04
47PM0518D0007,47PM0422F0015,47PM0518D0007~47PM0422F0015,2,59134-32.5,ZMNPZJK8YVN3,"Media Plumbing & Heating, Inc.",100,0.04
47PM0518D0007,47PM0422F0015,47PM0518D0007~47PM0422F0015,3,59134-32.6,P4GKREL2JNK1,PHOENIX MECHANICAL GROUP INC,100,0.04
47PM0518D0007,47PM0422F0020,47PM0518D0007~47PM0422F0020,1,59134-34.1,UX6SC4Y45ZH4,"ASHE CONSULTANTS, P.L.L.C.",100,0.04
47PM0518D0007,47PM0422F0020,47PM0518D0007~47PM0422F0020,2,59134-34.5,P4GKREL2JNK1,PHOENIX MECHANICAL GROUP INC,100,0.04
